Customer,Margin Percent,Origin City,Destination City,Mode,Modes,Loads
PULSAR PRODUCTS (50500-P1),17.0,ONTARIO,MIDLAND,LTL,LTL,PULSAR PRODUCTS (50500-P1)
EASYFLEX USA (58997-P1),13.5,DENTON,MIAMI,LTL,LTL,EASYFLEX USA (58997-P1)
REALSTONE SYSTEMS (64462-P1),18.77,TROY,READING,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
PENTIUS USA INC (101213-P1),12.01,SANTA FE SPRINGS,OROVILLE,LTL,LTL,PENTIUS USA INC (101213-P1)
WORLD DEPOT (100744-P1),12.51,AZUSA,GRADY,LTL,LTL,WORLD DEPOT (100744-P1)
SILVERWINGS UNIQUE (60288-P1),15.0,MANCHESTER,QUEENS,LTL,LTL,SILVERWINGS UNIQUE (60288-P1)
AQUA ULTRAVIOLET (105519-P1),12.94,TEMECULA,GOLDEN VALLEY,LTL,LTL,AQUA ULTRAVIOLET (105519-P1)
METALLIC LADDER MANUFACTURING - BRENDA (252492-P1),32.9,RANDOLPH,LOS ANGELES,LTL,LTL,METALLIC LADDER MANUFACTURING - BRENDA (252492-P1)
PETER PAN NOVELTY COMPANY (96025-P1),12.0,SAN ANTONIO,PLANO,LTL,LTL,PETER PAN NOVELTY COMPANY (96025-P1)
CHP LOGISTICS (50393-P1),28.81,SIOUX CITY,CANTON,LTL,LTL,CHP LOGISTICS (50393-P1)
KINGFA GLOBAL INC (50330-P1),10.0,ONTARIO,BANDERA,LTL,LTL,KINGFA GLOBAL INC (50330-P1)
PRECISION WATERJET INC (81239-P1),31.37,Anaheim,San Jose,Truckload Flatbed,Truckload Flatbed,PRECISION WATERJET INC (81239-P1)
PUMPING SOLUTIONS (52530-P1),21.85,ONTARIO,SOQUEL,LTL,LTL,PUMPING SOLUTIONS (52530-P1)
PLANTATION CANDIES (93930-P1),39.47,TELFORD,SHARON,LTL,LTL,PLANTATION CANDIES (93930-P1)
WORLD DEPOT (100744-P1),16.49,BOLINGBROOK,BALTIMORE,LTL,LTL,WORLD DEPOT (100744-P1)
IPOWER INC (65700-P1),26.17,IRWINDALE,OAKLAND,LTL,LTL,IPOWER INC (65700-P1)
MATRIX AIR SYSTEMS (114161-P1),19.35,CONTOOCOOK,DAVIE,LTL,LTL,MATRIX AIR SYSTEMS (114161-P1)
MIDWEST TRADING CO (65937-P1),12.0,DALLAS,CHULA VISTA,LTL,LTL,MIDWEST TRADING CO (65937-P1)
JD LOGISTICS UNITED STATES COMPANY (94229-P1),22.0,FONTANA,SCOTTSDALE,LTL,LTL,JD LOGISTICS UNITED STATES COMPANY (94229-P1)
LONESOME COTTAGE FURNITURE CO (104935-P1),0.0,Rancho Cucamonga,Big Bear Lake,Truckload,Truckload,LONESOME COTTAGE FURNITURE CO (104935-P1)
COOLER DEPOT (50236-P1),12.2,CITY OF INDUSTRY,KENT,Enterprise,Enterprise,COOLER DEPOT (50236-P1)
TETRACO LLC (101261-P1),30.94,MIDLAND,EL CAMPO,Volume,Volume,TETRACO LLC (101261-P1)
ENERGETIC LIGHTING (69015-P1),13.0,AUSTELL,LANCASTER,LTL,LTL,ENERGETIC LIGHTING (69015-P1)
KILO E  LIQUIDS (240988-P1),13.0,LA MIRADA,OMAHA,LTL,LTL,KILO E  LIQUIDS (240988-P1)
PETER PAN NOVELTY COMPANY (96025-P1),16.38,SAN ANTONIO,SHELBY,LTL,LTL,PETER PAN NOVELTY COMPANY (96025-P1)
MTC INDUSTRIES (96242-P1),19.81,HAUPPAUGE,FARMINGDALE,LTL,LTL,MTC INDUSTRIES (96242-P1)
LITE SOURCE INC (62990-P1),11.0,ONTARIO,COLORADO SPRINGS,LTL,LTL,LITE SOURCE INC (62990-P1)
PRO MOTION DISTRIBUTING (92973-P1),27.52,CITY OF INDUSTRY,LAS VEGAS,LTL,LTL,PRO MOTION DISTRIBUTING (92973-P1)
POWER STEER INC (63189-P1),14.57,SAN ANTONIO,DALLAS,LTL,LTL,POWER STEER INC (63189-P1)
GUARDIAN ACCESS & DOOR HARDWARE (50943-P1),13.5,CITY OF INDUSTRY,RICHARDSON,LTL,LTL,GUARDIAN ACCESS & DOOR HARDWARE (50943-P1)
JDM WESTCOAST (111904-P1),12.41,SANTA FE SPRINGS,HEBER CITY,LTL,LTL,JDM WESTCOAST (111904-P1)
HARVARDS CHROME FACTORY (87360-P1),18.6,PITTSBURG,STOCKTON,LTL,LTL,HARVARDS CHROME FACTORY (87360-P1)
THE NEW DIAMOND LINE CONTAINER CORPORATION (109641-P1),14.0,AKRON,COLUMBIA,LTL,LTL,THE NEW DIAMOND LINE CONTAINER CORPORATION (109641-P1)
ANION PERFORMANCE CHEMICALS (101294-P1),14.46,GAINESVILLE,KREMLIN,LTL,LTL,ANION PERFORMANCE CHEMICALS (101294-P1)
KINGFA GLOBAL INC (50330-P1),10.0,ONTARIO,NEW BETHLEHEM,LTL,LTL,KINGFA GLOBAL INC (50330-P1)
FOREVER REDWOOD (102661-P1),14.81,SAN DIEGO,DURHAM,LTL,LTL,FOREVER REDWOOD (102661-P1)
GLOWORKS (101700-P1),21.96,OAK PARK,BROOKLYN,LTL,LTL,GLOWORKS (101700-P1)
MARUKAN VINEGAR USA (101648-P1),16.96,GRIFFIN,ITASCA,LTL,LTL,MARUKAN VINEGAR USA (101648-P1)
WORLD DEPOT (100744-P1),14.0,AZUSA,ROUND ROCK,LTL,LTL,WORLD DEPOT (100744-P1)
WINJET AUTOMOTIVE (113877-P1),14.49,CITY OF INDUSTRY,LAS VEGAS,LTL,LTL,WINJET AUTOMOTIVE (113877-P1)
SOL CABINETS WHOLESALE INC (96880-P1),12.75,CITY OF INDUSTRY,UNION CITY,LTL,LTL,SOL CABINETS WHOLESALE INC (96880-P1)
AFFORDABLE WIPERS (94566-P1),20.0,HOUSTON,PONTIAC,LTL,LTL,AFFORDABLE WIPERS (94566-P1)
AQUA ULTRAVIOLET (105519-P1),14.44,TEMECULA,TEMPE,LTL,LTL,AQUA ULTRAVIOLET (105519-P1)
FOREVER REDWOOD (102661-P1),14.7,SAN DIEGO,HUNTSVILLE,LTL,LTL,FOREVER REDWOOD (102661-P1)
MEADOW DECOR (61999-P1),15.0,ONTARIO,DENVER,LTL,LTL,MEADOW DECOR (61999-P1)
SDS NATIONAL (102907-P1),18.62,BILLINGS,ELGIN,LTL,LTL,SDS NATIONAL (102907-P1)
SMITTY PAN MFG (89500-P1),21.2,LOMITA,STOCKTON,LTL,LTL,SMITTY PAN MFG (89500-P1)
WINJET AUTOMOTIVE (113877-P1),15.0,CITY OF INDUSTRY,EL PASO,LTL,LTL,WINJET AUTOMOTIVE (113877-P1)
RIA DISTRIBUTING INC (97759-P1),24.18,LAREDO,SALT LAKE CITY,LTL,LTL,RIA DISTRIBUTING INC (97759-P1)
ANION PERFORMANCE CHEMICALS (101294-P1),21.06,GAINESVILLE,MCINTYRE,LTL,LTL,ANION PERFORMANCE CHEMICALS (101294-P1)
JDM WESTCOAST (111904-P1),11.5,SANTA FE SPRINGS,SPRINGFIELD GARDENS,LTL,LTL,JDM WESTCOAST (111904-P1)
"THE STAPLETON GROUP, INC (235240-P1)",10.4,DENVER,OVERLAND PARK,LTL,LTL,"THE STAPLETON GROUP, INC (235240-P1)"
SDS NATIONAL (102907-P1),21.11,CHARLOTTE,WEST CHICAGO,LTL,LTL,SDS NATIONAL (102907-P1)
EASYFLEX USA (58997-P1),13.5,DENVER,HELENA,Enterprise,Enterprise,EASYFLEX USA (58997-P1)
EVO AMERICA LLC (104638-P1),17.34,TUALATIN,DALLAS,LTL,LTL,EVO AMERICA LLC (104638-P1)
WANTECH INTERNATIONAL (84917-P1),15.4,HAYWARD,MIAMI LAKES,LTL,LTL,WANTECH INTERNATIONAL (84917-P1)
MIRROR IMAGE (93977-P1),12.0,LOS ANGELES,WAUKEGAN,LTL,LTL,MIRROR IMAGE (93977-P1)
MATE USA LLC (112540-P1),24.51,DEERFIELD BEACH,FORT MYERS,LTL,LTL,MATE USA LLC (112540-P1)
GILLIS & LANE INC (67037-P1),17.0,PLACENTIA,MANOR,LTL,LTL,GILLIS & LANE INC (67037-P1)
DALTON WOOD WHOLESALE (122666-P1),13.23,KENT,SPOKANE,LTL,LTL,DALTON WOOD WHOLESALE (122666-P1)
SGCB AUTOCARE (87326-P1),34.19,SAN LEANDRO,SCHERTZ,LTL,LTL,SGCB AUTOCARE (87326-P1)
PUBLIC SPECIAL COMMODITIES DIVISION (117082-P1),23.66,TEMECULA,FORT COLLINS,LTL,LTL,PUBLIC SPECIAL COMMODITIES DIVISION (117082-P1)
EMOJO BIKE (105217-P1),12.0,IRVINE,ALBUQUERQUE,LTL,LTL,EMOJO BIKE (105217-P1)
ENVIROMOTIVE (110532-P1),12.0,COLORADO SPRINGS,BOISE,LTL,LTL,ENVIROMOTIVE (110532-P1)
DE VORE PACKAGING INC (235210-P1),12.0,SANTA FE SPRINGS,ARCATA,LTL,LTL,DE VORE PACKAGING INC (235210-P1)
MATE USA LLC (112540-P1),31.2,DEERFIELD BEACH,MELBOURNE,LTL,LTL,MATE USA LLC (112540-P1)
KINGFA GLOBAL INC (50330-P1),10.0,ONTARIO,HANFORD,LTL,LTL,KINGFA GLOBAL INC (50330-P1)
PUBLIC SPECIAL COMMODITIES DIVISION (117082-P1),11.0,MIRA LOMA,KEMPNER,LTL,LTL,PUBLIC SPECIAL COMMODITIES DIVISION (117082-P1)
WORLD DEPOT (100744-P1),14.0,AZUSA,MINNEAPOLIS,LTL,LTL,WORLD DEPOT (100744-P1)
JIAHERB INC (50655-P1),16.79,NORTH BERGEN,PINE BROOK,LTL,LTL,JIAHERB INC (50655-P1)
ENVIROMOTIVE (110532-P1),12.0,ODESSA,COLORADO SPRINGS,LTL,LTL,ENVIROMOTIVE (110532-P1)
EASYFLEX USA (58997-P1),13.5,DENTON,PORT SAINT LUCIE,LTL,LTL,EASYFLEX USA (58997-P1)
NOW MOVE USA (63649-P1),13.5,ATLANTA,HALTOM CITY,LTL,LTL,NOW MOVE USA (63649-P1)
KULL LAVERDE TRUCKING (106577-P1),16.0,Brentwood,Lynbrook,Truckload,Truckload,KULL LAVERDE TRUCKING (106577-P1)
CECILIA TECH (105393-P1),12.89,Ontario,Upper Marlboro,Truckload,Truckload,CECILIA TECH (105393-P1)
ENVIROMOTIVE (110532-P1),12.0,MESQUITE,CASSEL,LTL,LTL,ENVIROMOTIVE (110532-P1)
MIDWEST TRADING CO (65937-P1),16.51,DALLAS,OCALA,LTL,LTL,MIDWEST TRADING CO (65937-P1)
POSITIVE CONCEPTS (50250-P1),17.86,HIALEAH,TAMPA,LTL,LTL,POSITIVE CONCEPTS (50250-P1)
.JOHN MEBANE CUSTOMER (96681-P1D),15.77,KNOXVILLE,GLENWOOD CITY,LTL,LTL,.JOHN MEBANE CUSTOMER (96681-P1D)
WORLD DEPOT (100744-P1),14.0,AZUSA,BOSTON,LTL,LTL,WORLD DEPOT (100744-P1)
PLANTATION CANDIES (93930-P1),26.99,BUFORD,TELFORD,LTL,LTL,PLANTATION CANDIES (93930-P1)
MLR PACKAGING (240549-P1),17.74,COLUMBUS,FULLERTON,LTL,LTL,MLR PACKAGING (240549-P1)
REALSTONE SYSTEMS (64462-P1),18.5,TROY,LOVELAND,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
POST PONY WAREHOUSE (254229-P1),11.0,TRACY,WHITTIER,LTL,LTL,POST PONY WAREHOUSE (254229-P1)
INNOVATIVE BEVERAGE CONCEPTS INC (229777-P1),12.84,IRVINE,COMMERCE,LTL,LTL,INNOVATIVE BEVERAGE CONCEPTS INC (229777-P1)
CLEANIS (108759-P1),15.0,CHICAGO,DEPEW,LTL,LTL,CLEANIS (108759-P1)
KINGDOM DISTRIBUTORS (98029-P1),12.84,OXNARD,BANNING,LTL,LTL,KINGDOM DISTRIBUTORS (98029-P1)
POST PONY WAREHOUSE (254229-P1),11.0,WHITTIER,SAPULPA,LTL,LTL,POST PONY WAREHOUSE (254229-P1)
HYLIO INC (113143-P1),20.28,RICHMOND,WARREN,LTL,LTL,HYLIO INC (113143-P1)
MAKK CROSS BORDER SOLUTIONS (230436-P1),19.17,SALEM,OAKLAND,LTL,LTL,MAKK CROSS BORDER SOLUTIONS (230436-P1)
LAB TECH SUPPLY COMPANY (92178-P1),27.35,BALLY,GRANITEVILLE,LTL,LTL,LAB TECH SUPPLY COMPANY (92178-P1)
EMPAVA APPLIANCES (251270-P1),15.0,CITY OF INDUSTRY,COLORADO SPRINGS,LTL,LTL,EMPAVA APPLIANCES (251270-P1)
TRASIAN MANUFACTURING LTD (252025-P1),17.53,GROVE CITY,VIRGINIA BEACH,LTL,LTL,TRASIAN MANUFACTURING LTD (252025-P1)
KAHUNA CHAIR (243830-P1),17.5,COMPTON,SUNNYVALE,LTL,LTL,KAHUNA CHAIR (243830-P1)
PUMPING SOLUTIONS (52530-P1),21.86,ONTARIO,TEMPE,LTL,LTL,PUMPING SOLUTIONS (52530-P1)
RIA DISTRIBUTING INC (97759-P1),30.52,LAREDO,MANTECA,LTL,LTL,RIA DISTRIBUTING INC (97759-P1)
TRASIAN MANUFACTURING LTD (252025-P1),19.18,GROVE CITY,MISSOULA,LTL,LTL,TRASIAN MANUFACTURING LTD (252025-P1)
BOLIDE TECHNOLOGY GROUP (104073-P1),12.0,SAN DIMAS,HOUSTON,LTL,LTL,BOLIDE TECHNOLOGY GROUP (104073-P1)
TRASIAN MANUFACTURING LTD (252025-P1),15.51,GROVE CITY,BLAINE,LTL,LTL,TRASIAN MANUFACTURING LTD (252025-P1)
BOLIDE TECHNOLOGY GROUP (104073-P1),13.5,SAN DIMAS,SAINT PAUL,LTL,LTL,BOLIDE TECHNOLOGY GROUP (104073-P1)
TRASIAN MANUFACTURING LTD (252025-P1),16.24,GROVE CITY,BOULDER,LTL,LTL,TRASIAN MANUFACTURING LTD (252025-P1)
FBD LOGISTICS (228466-P1),12.5,WALNUT,HOUSTON,LTL,LTL,FBD LOGISTICS (228466-P1)
STURDY GUN SAFES (96408-P1),13.51,FRESNO,KINGMAN,LTL,LTL,STURDY GUN SAFES (96408-P1)
WORLD DEPOT (100744-P1),14.0,AZUSA,DILLEY,LTL,LTL,WORLD DEPOT (100744-P1)
PACIFIC TECH (68043-P1),27.55,YORBA LINDA,IRVINE,LTL,LTL,PACIFIC TECH (68043-P1)
EMPAVA APPLIANCES (251270-P1),10.0,CITY OF INDUSTRY,KALISPELL,LTL,LTL,EMPAVA APPLIANCES (251270-P1)
TRASIAN MANUFACTURING LTD (252025-P1),27.73,GROVE CITY,MAZOMANIE,LTL,LTL,TRASIAN MANUFACTURING LTD (252025-P1)
RON ROBINSON (240555-P1),17.69,OXNARD,LOS ANGELES,LTL,LTL,RON ROBINSON (240555-P1)
TRASIAN MANUFACTURING LTD (252025-P1),33.71,GROVE CITY,DEER PARK,LTL,LTL,TRASIAN MANUFACTURING LTD (252025-P1)
USA TECHNOLOGY CORP (81252-P1),17.47,JAMAICA,BRIDGEWATER,LTL,LTL,USA TECHNOLOGY CORP (81252-P1)
WESTCOAST WATER WORKS WAREHOUSE (61921-P1),40.38,CORONA,EL CENTRO,LTL,LTL,WESTCOAST WATER WORKS WAREHOUSE (61921-P1)
EASTERNCCTV (249588-P1),11.0,CITY OF INDUSTRY,LOS ANGELES,LTL,LTL,EASTERNCCTV (249588-P1)
PULSAR PRODUCTS (50500-P1),15.07,LUBBOCK,ONTARIO,LTL,LTL,PULSAR PRODUCTS (50500-P1)
ADVANCED PET PRODUCTS (101633-P1),34.82,WATERFORD,GRAND RAPIDS,LTL,LTL,ADVANCED PET PRODUCTS (101633-P1)
USA TECHNOLOGY CORP (81252-P1),32.19,ONTARIO,MELROSE,LTL,LTL,USA TECHNOLOGY CORP (81252-P1)
CARSON TECHNOLOGY (51725-P1),67.26,SANTA FE SPRINGS,SOMIS,LTL,LTL,CARSON TECHNOLOGY (51725-P1)
KINGHOOD INTERNATIONAL LOGISTICS (240864-P1),15.0,CORONA,TWINSBURG,LTL,LTL,KINGHOOD INTERNATIONAL LOGISTICS (240864-P1)
WINJET AUTOMOTIVE (113877-P1),14.5,CITY OF INDUSTRY,OLATHE,LTL,LTL,WINJET AUTOMOTIVE (113877-P1)
EVA'S ESTHETICS INC dba TUEL BERODIN (87411-P1),19.68,TORRANCE,CONCORD,LTL,LTL,EVA'S ESTHETICS INC dba TUEL BERODIN (87411-P1)
CINSA USA (113476-P1),13.02,LAREDO,LAFAYETTE,LTL,LTL,CINSA USA (113476-P1)
JDA GLOBAL (60800-P1),24.31,HENDERSON,SANTA ANA,LTL,LTL,JDA GLOBAL (60800-P1)
EZGO EXPRESS (65702-P1),29.68,LAS VEGAS,MONTCLAIR,LTL,LTL,EZGO EXPRESS (65702-P1)
LAZER MARBLE & GRANITE (103558-P1),17.04,UNION,BEDFORD HILLS,Enterprise,Enterprise,LAZER MARBLE & GRANITE (103558-P1)
EMPAVA APPLIANCES (251270-P1),10.0,CITY OF INDUSTRY,PORT CHARLOTTE,LTL,LTL,EMPAVA APPLIANCES (251270-P1)
REALSTONE SYSTEMS (64462-P1),16.0,TROY,SAN DIMAS,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
JOCKIMO INC (52554-P1),33.87,LAGUNA HILLS,SPRINGFIELD,LTL,LTL,JOCKIMO INC (52554-P1)
CAMERICH USA (59906-P1),8.9,RENTON,BELGRADE,LTL,LTL,CAMERICH USA (59906-P1)
POST PONY WAREHOUSE (254229-P1),11.0,NORTH CHARLESTON,TAMPA,LTL,LTL,POST PONY WAREHOUSE (254229-P1)
PARK AVE APPLIANCES (234586-P1),12.0,LAKEWOOD,LEONARDTOWN,LTL,LTL,PARK AVE APPLIANCES (234586-P1)
PURCELL MURRAY (240880-P1),12.5,LIVERMORE,CASTLETON ON HUDSON,LTL,LTL,PURCELL MURRAY (240880-P1)
EEZGLOBAL INC (82586-P1),20.0,HAYWARD,WHITE HALL,LTL,LTL,EEZGLOBAL INC (82586-P1)
AT INDUSTRIAL PRODUCTS (236117-P1),13.5,POMONA,OLATHE,LTL,LTL,AT INDUSTRIAL PRODUCTS (236117-P1)
PLANTATION CANDIES (93930-P1),30.26,TELFORD,COLUMBUS,LTL,LTL,PLANTATION CANDIES (93930-P1)
REALSTONE SYSTEMS (64462-P1),18.65,TROY,SOUTH BEND,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
SITMATIC USA (94646-P1),25.35,FULLERTON,BLOOMINGTON,LTL,LTL,SITMATIC USA (94646-P1)
SDS NATIONAL (102907-P1),14.0,MORTON,LA VERGNE,LTL,LTL,SDS NATIONAL (102907-P1)
GILLIS & LANE INC (67037-P1),18.03,ONTARIO,UNION CITY,LTL,LTL,GILLIS & LANE INC (67037-P1)
IOWA PARTS INC (102965-P1),14.5,HAMMOND,RALEIGH,LTL,LTL,IOWA PARTS INC (102965-P1)
REALSTONE SYSTEMS (64462-P1),18.65,TROY,MILAN,LTL,LTL,REALSTONE SYSTEMS (64462-P1)
CHATSWORTH PRODUCTS INC (242078-P1),0.0,Georgetown,Simi Valley,Truckload,Truckload,CHATSWORTH PRODUCTS INC (242078-P1)
USA TECHNOLOGY CORP (81252-P1),19.72,ONTARIO,HOUSTON,LTL,LTL,USA TECHNOLOGY CORP (81252-P1)
THE ABS COMPANY (97215-P1),12.0,MILWAUKEE,HARVEY,LTL,LTL,THE ABS COMPANY (97215-P1)
RDM SUPPLY CHAIN SOLUTIONS (90889-P1),50.44,SACRAMENTO,INGLEWOOD,LTL,LTL,RDM SUPPLY CHAIN SOLUTIONS (90889-P1)
ECOLOGIX ENVIRONMENTAL SYSTEMS LLC (98558-P1),19.5,FOUNTAIN INN,CHICO,LTL,LTL,ECOLOGIX ENVIRONMENTAL SYSTEMS LLC (98558-P1)
PRO MOTION DISTRIBUTING (92973-P1),23.05,ELGIN,MEMPHIS,LTL,LTL,PRO MOTION DISTRIBUTING (92973-P1)
"LASER EXPRESS, INC. (60791-P1)",38.03,Fairfield,Verona,Truckload,Truckload,"LASER EXPRESS, INC. (60791-P1)"
PUBLIC SPECIAL COMMODITIES DIVISION (117082-P1),12.5,TEMECULA,TOLLESON,LTL,LTL,PUBLIC SPECIAL COMMODITIES DIVISION (117082-P1)
PRO MOTION DISTRIBUTING (92973-P1),24.99,PITTSBURGH,MEMPHIS,LTL,LTL,PRO MOTION DISTRIBUTING (92973-P1)
MJ TREEHOUSE VENTURES DBA UPSCAPERS (116801-P1),34.34,BRYAN,NASHVILLE,LTL,LTL,MJ TREEHOUSE VENTURES DBA UPSCAPERS (116801-P1)
RII EXPRESS (80710-P1),27.93,LA MIRADA,FORT WORTH,Enterprise,Enterprise,RII EXPRESS (80710-P1)
PREMIER PUMP AND POWER (94206-P1),16.27,VANCOUVER,SHREVEPORT,LTL,LTL,PREMIER PUMP AND POWER (94206-P1)
SUMMER CRUSH VINEYARD AND WINERY (255161-P1),8.63,ALTUS,FORT PIERCE,Volume,Volume,SUMMER CRUSH VINEYARD AND WINERY (255161-P1)
COWAY USA (83665-P1),15.0,RANCHO DOMINGUEZ,DES PLAINES,LTL,LTL,COWAY USA (83665-P1)
1ST CLASS CIGAR HUMIDORS (67634-P1),33.33,DEERFIELD BEACH,PALM BEACH GARDENS,LTL,LTL,1ST CLASS CIGAR HUMIDORS (67634-P1)
NOW MOVE USA (63649-P1),12.0,AUSTIN,FRANCIS,LTL,LTL,NOW MOVE USA (63649-P1)
KEVIDKO (229223-P1),40.0,Henderson,Los Angeles,Truckload,Truckload,KEVIDKO (229223-P1)
WORLD DEPOT (100744-P1),12.5,EL MONTE,PINEDALE,LTL,LTL,WORLD DEPOT (100744-P1)
METALLIC LADDER MANUFACTURING - BRENDA (252492-P1),27.97,RANDOLPH,SIGNAL HILL,LTL,LTL,METALLIC LADDER MANUFACTURING - BRENDA (252492-P1)
DALTON WOOD WHOLESALE (122666-P1),13.5,SAN LEANDRO,KENT,LTL,LTL,DALTON WOOD WHOLESALE (122666-P1)
DURVY LIQUIDATION LLC (101418-P1),20.0,UNION,PALATINE,LTL,LTL,DURVY LIQUIDATION LLC (101418-P1)
EASYFLEX USA (58997-P1),13.5,DENTON,GAINESVILLE,LTL,LTL,EASYFLEX USA (58997-P1)
CODAN MX (247594-P1),47.3,SAN CLEMENTE,SAN DIEGO,LTL,LTL,CODAN MX (247594-P1)
ALTECH ELECTRONICS (110481-P1),10.0,PARAMOUNT,INDIANAPOLIS,LTL,LTL,ALTECH ELECTRONICS (110481-P1)
GORILLA COATINGS CORP (87325-P1),52.54,San Leandro,Carson City,Truckload Flatbed,Truckload Flatbed,GORILLA COATINGS CORP (87325-P1)
WORLD DEPOT (100744-P1),17.66,EL MONTE,INDIANAPOLIS,LTL,LTL,WORLD DEPOT (100744-P1)
POSITIVE CONCEPTS (50250-P1),18.4,HIALEAH,OCALA,LTL,LTL,POSITIVE CONCEPTS (50250-P1)
ENTREPACK (82051-P1),17.61,SOUTH EL MONTE,HIALEAH GARDENS,LTL,LTL,ENTREPACK (82051-P1)
GREENPOWER MOTOR CO (249180-P1),13.5,WOODINVILLE,PORTERVILLE,LTL,LTL,GREENPOWER MOTOR CO (249180-P1)
CAMERICH USA (59906-P1),6.45,Renton,Miami,Truckload,Truckload,CAMERICH USA (59906-P1)
"D&S SALES, INC - WESTERN MULE CRANES (67091-P1)",12.0,FRESNO,ROSEDALE,LTL,LTL,"D&S SALES, INC - WESTERN MULE CRANES (67091-P1)"
NOW MOVE USA (63649-P1),20.17,HOLLY HILL,RAINBOW CITY,LTL,LTL,NOW MOVE USA (63649-P1)
R&R LOGISTICS (92439-P1),12.0,SACRAMENTO,MORGAN HILL,LTL,LTL,R&R LOGISTICS (92439-P1)
WORLD DEPOT (100744-P1),14.0,EL MONTE,TROY,LTL,LTL,WORLD DEPOT (100744-P1)
EASYFLEX USA (58997-P1),19.51,DENTON,CHARLOTTE,Enterprise,Enterprise,EASYFLEX USA (58997-P1)
FARM PLASTIC SUPPLY (96226-P1),12.0,ADDISON,SAN JOSE,LTL,LTL,FARM PLASTIC SUPPLY (96226-P1)
COOLER DEPOT (50236-P1),13.0,CITY OF INDUSTRY,COLDSPRING,LTL,LTL,COOLER DEPOT (50236-P1)
EASYFLEX USA (58997-P1),13.5,DENTON,SACRAMENTO,LTL,LTL,EASYFLEX USA (58997-P1)
1ST CLASS CIGAR HUMIDORS (67634-P1),33.04,DEERFIELD BEACH,TOPANGA,LTL,LTL,1ST CLASS CIGAR HUMIDORS (67634-P1)
GENERAL FLOORCRAFT (234115-P1),12.0,DORAL,CHICAGO,LTL,LTL,GENERAL FLOORCRAFT (234115-P1)
1ST CLASS CIGAR HUMIDORS (67634-P1),31.32,DEERFIELD BEACH,MARICOPA,LTL,LTL,1ST CLASS CIGAR HUMIDORS (67634-P1)
EVO AMERICA LLC (104638-P1),17.96,FORT SMITH,TUALATIN,LTL,LTL,EVO AMERICA LLC (104638-P1)
HFS SOCAL INC (231551-P1),27.66,AZUSA,KALAMAZOO,LTL,LTL,HFS SOCAL INC (231551-P1)
EASYFLEX USA (58997-P1),14.64,DENTON,PHOENIX,Enterprise,Enterprise,EASYFLEX USA (58997-P1)
CODAN MX (247594-P1),32.72,Milwaukee,San Diego,Truckload Expedited,Truckload Expedited,CODAN MX (247594-P1)
THE NEW DIAMOND LINE CONTAINER CORPORATION (109641-P1),14.48,AKRON,JAMESTOWN,Enterprise,Enterprise,THE NEW DIAMOND LINE CONTAINER CORPORATION (109641-P1)
POSITIVE CONCEPTS (50250-P1),16.1,GREENVILLE,GREENSBURG,LTL,LTL,POSITIVE CONCEPTS (50250-P1)
BORRAYS PLASTICS (52348-P1),24.5,SANTA FE SPRINGS,GRESHAM,LTL,LTL,BORRAYS PLASTICS (52348-P1)
SHIPIT4US LLC (107170-P1),12.0,LAKE ORION,LONG ISLAND CITY,LTL,LTL,SHIPIT4US LLC (107170-P1)
WORLD DEPOT (100744-P1),51.6,GRAND PRAIRIE,MORENO VALLEY,LTL,LTL,WORLD DEPOT (100744-P1)
KILO E  LIQUIDS (240988-P1),13.0,LA MIRADA,SAN DIEGO,LTL,LTL,KILO E  LIQUIDS (240988-P1)
MATE USA LLC (112540-P1),12.16,DEERFIELD BEACH,NEWPORT BEACH,LTL,LTL,MATE USA LLC (112540-P1)
VULCAN WIRE (81237-P1),15.85,HAYWARD,MOUNT SHASTA,LTL,LTL,VULCAN WIRE (81237-P1)
SDS NATIONAL (102907-P1),14.0,INDIANAPOLIS,CUMMING,LTL,LTL,SDS NATIONAL (102907-P1)
TECHTRADE SOLUTIONS (104510-P1),14.0,HOUSTON,SCOTTSDALE,LTL,LTL,TECHTRADE SOLUTIONS (104510-P1)
CALIBER RANGE CORP (59538-P1),14.71,HUNTINGTON BEACH,LAS VEGAS,LTL,LTL,CALIBER RANGE CORP (59538-P1)
CINSA USA (113476-P1),12.5,LAREDO,HOLIDAY CITY,LTL,LTL,CINSA USA (113476-P1)
ADVANTAGE LIGHTING SOLUTIONS (94035-P1),13.0,CITY OF INDUSTRY,ALBUQUERQUE,LTL,LTL,ADVANTAGE LIGHTING SOLUTIONS (94035-P1)
"BUFFALO GILLS, LLC (238194-P1)",15.09,HIGHLANDTOWN,REGO PARK,LTL,LTL,"BUFFALO GILLS, LLC (238194-P1)"
FARM PLASTIC SUPPLY (96226-P1),18.72,ADDISON,TORONTO,LTL,LTL,FARM PLASTIC SUPPLY (96226-P1)
EASYFLEX USA (58997-P1),16.02,DENTON,NEW ORLEANS,LTL,LTL,EASYFLEX USA (58997-P1)
OCEANIA INTERNATIONAL (62004-P1),24.81,Ontario,Sacramento,Truckload,Truckload,OCEANIA INTERNATIONAL (62004-P1)
