Customer,Margin Percent,Origin City,Destination City,Mode,Modes,Loads
SOL CABINETS WHOLESALE INC (96880-P1),13.4,DALLAS,UNION CITY,LTL,LTL,SOL CABINETS WHOLESALE INC (96880-P1)
SDS NATIONAL (102907-P1),17.0,LOCKBOURNE,DUNCAN,LTL,LTL,SDS NATIONAL (102907-P1)
GRAYSON LUXURY -- DNS (105305-P1),17.62,TRUMBULL,LOS ANGELES,LTL,LTL,GRAYSON LUXURY -- DNS (105305-P1)
KINGDOM DISTRIBUTORS (98029-P1),12.0,WALDPORT,OXNARD,LTL,LTL,KINGDOM DISTRIBUTORS (98029-P1)
W&W WHOLESALE INC (89812-P1),46.36,EDISON,SAN DIEGO,LTL,LTL,W&W WHOLESALE INC (89812-P1)
PLANTATION CANDIES (93930-P1),30.99,TELFORD,ERIE,LTL,LTL,PLANTATION CANDIES (93930-P1)
GLOBAL CARTAGE INC (116473-P1),19.21,SAINT CHARLES,ALBERT LEA,Volume,Volume,GLOBAL CARTAGE INC (116473-P1)
FBD LOGISTICS (228466-P1),17.54,WALNUT,WILMINGTON,LTL,LTL,FBD LOGISTICS (228466-P1)
FBD LOGISTICS (228466-P1),12.5,WALNUT,RIDGECREST,LTL,LTL,FBD LOGISTICS (228466-P1)
SILVERWINGS UNIQUE (60288-P1),12.5,SARASOTA,INGLEWOOD,LTL,LTL,SILVERWINGS UNIQUE (60288-P1)
SILVERGATE SHIPPING INC (51355-P1),13.5,COLUMBIA,ARLINGTON,LTL,LTL,SILVERGATE SHIPPING INC (51355-P1)
COOLER DEPOT (50236-P1),16.43,CITY OF INDUSTRY,KENT,Enterprise,Enterprise,COOLER DEPOT (50236-P1)
METALLIC LADDER MANUFACTURING (116334-P1),15.32,RANDOLPH,NEW IBERIA,LTL,LTL,METALLIC LADDER MANUFACTURING (116334-P1)
ADVANTAGE LIGHTING SOLUTIONS (94035-P1),19.16,HOUSTON,BROWNSVILLE,LTL,LTL,ADVANTAGE LIGHTING SOLUTIONS (94035-P1)
FORCE MEASUREMENT SYSTEMS (243921-P1),11.97,ANAHEIM,SCOTTSDALE,LTL,LTL,FORCE MEASUREMENT SYSTEMS (243921-P1)
NOW MOVE USA (63649-P1),12.0,MIAMI,TORONTO,LTL,LTL,NOW MOVE USA (63649-P1)
SENFENG LASER USA INC (88165-P1),36.09,COMMERCE,CANOGA PARK,LTL,LTL,SENFENG LASER USA INC (88165-P1)
WHYNTER LLC (102952-P1),13.5,BREA,SALT LAKE CITY,LTL,LTL,WHYNTER LLC (102952-P1)
SERFAS - AZ (250327-P1),35.0,PHOENIX,NORTH FALMOUTH,LTL,LTL,SERFAS - AZ (250327-P1)
WANTECH INTERNATIONAL (84917-P1),25.69,HAYWARD,INDIANAPOLIS,LTL,LTL,WANTECH INTERNATIONAL (84917-P1)
