Customer,Margin Percent,Gross Margin,Variance Count,Variance %,loads,Win Ratio,Total Quotes
REPUBLIC FLOORING (83157-P1),12.36,$206,2,67%,3,21%,14
REVEL HOME (80054-P1),17.21,$115,2,67%,3,14%,14
REVOLVE WHEELS (255357-P1),11.45,$42,0,0%,1,9%,11
REX DISTRIBUTOR (60513-P1),14.21,$941,11,55%,20,55%,47
RIA DISTRIBUTING INC (97759-P1),25.17,"$3,884",8,32%,25,71%,41
RICHIN TRADING INC (109772-P1),18.0,$591,1,33%,3,38%,8
RICHMAN COSMETIC INC (65728-P1),17.0,$158,0,0%,1,50%,2
RII EXPRESS (80710-P1),27.21,"$14,816",31,46%,68,56%,147
RIVEROAKS (116441-P1),26.21,$706,1,33%,3,50%,4
RLT LOGISTICS GROUP LLC (60174-P1),13.16,"$1,267",4,21%,19,2%,826
ROBERT WAYNE FOOTWEAR (240554-P1),12.25,$375,2,33%,6,100%,6
ROCKET FIZZ (100234-P1),18.04,"$4,524",8,47%,17,35%,54
ROCKFORD CORPORATION (103074-P1),14.68,$932,1,25%,4,75%,4
ROLLAND HAIRTREND INC - NC (249591-P1),18.12,$335,0,0%,3,40%,5
ROLLAND HAIRTREND INC DBA AMVECK (98441-P1),26.62,$187,0,0%,1,100%,1
RON ROBINSON (240555-P1),17.9,$524,4,29%,14,46%,35
ROYAL PACKAGING (89688-P1),14.5,$506,4,80%,5,50%,10
RPA INTERNATIONAL. (65727-P1),16.44,$240,2,100%,2,29%,7
RUVATI USA (94478-P1),16.86,"$2,558",10,59%,17,32%,62
SABA AIR (50669-P1),12.0,$29,0,0%,1,33%,3
SAGRA INC (106366-P1),11.56,$428,5,71%,7,25%,36
SALESMAGIC INC (108141-P1),16.99,$252,1,25%,4,50%,8
SAMINCHEM INC (100863-P1),12.5,$77,0,0%,2,43%,7
SAN BENITO TEXTILES & THRIFT STORE (116245-P1),17.87,$25,1,100%,1,4%,26
SANDHU PRODUCTS (237706-P1),11.87,"$1,090",8,29%,28,67%,46
SATOR SOCCER (246940-P1),27.69,"$1,348",6,55%,11,16%,63
SAVIA USA (97888-P1),16.97,$100,1,100%,1,7%,14
SAW MASTER DIAMOND TOOLS (50517-P1),12.42,$231,1,17%,6,15%,39
SDI DEALS (66720-P1),12.93,$99,0,0%,3,2%,178
SDR MOTORSPORTS INC (87676-P1),36.12,"$4,070",4,18%,22,74%,38
SDS NATIONAL (102907-P1),16.45,"$21,699",92,24%,376,33%,1335
SECURE EWASTE MANAGEMENT (251482-P1),10.0,$44,0,0%,1,50%,2
SEGERO INC (87355-P1),11.62,$109,0,0%,2,67%,6
"SELERY FULFILLMENT, INC (243187-P1)",14.9,$193,1,25%,4,22%,18
SEMSOTAI USA INC (108888-P1),12.5,$33,0,0%,1,50%,2
SENFENG LASER USA INC (88165-P1),21.96,"$2,879",10,28%,36,78%,50
SERFAS (232816-P1),18.63,"$1,843",2,7%,28,25%,123
SERFAS - AZ (250327-P1),38.59,"$8,958",25,50%,50,57%,95
SGCB AUTOCARE (87326-P1),32.01,$706,1,14%,7,43%,14
SHARK WHEEL (246118-P1),23.07,"$2,333",10,77%,13,35%,17
SHARRATT PROVISION INC (92018-P1),22.1,"$6,446",15,52%,29,24%,144
SHINGLE GUARD (252028-P1),17.43,$95,0,0%,1,,
SHIPIT4US LLC (107170-P1),13.85,$503,6,40%,15,6%,344
SHIPPING AND HANDLING (104504-P1),20.1,"$5,192",8,11%,70,63%,108
SHUMAN PLASTICS (85006-P1),18.04,"$2,693",5,14%,37,37%,106
SIERRA ALLOYS (61045-P1),20.22,"$2,275",3,12%,26,46%,67
SIERRA DISPLAY FIXTURES INC (95480-P1),14.77,"$1,470",1,12%,8,47%,15
SIFA USA*** (65708-P1),24.98,$147,0,0%,2,100%,3
SILICON FORENSICS INC (104593-P1),28.39,$550,2,40%,5,40%,15
SILVA ADVERTISING SPECIALTIES (83212-P1),45.45,$141,0,0%,1,29%,7
SILVERGATE SHIPPING INC (51355-P1),15.1,"$4,191",20,57%,35,16%,336
SILVERSTONE TECHNOLOGY (255740-P1),45.67,$94,0,0%,1,14%,7
SILVERWINGS UNIQUE (60288-P1),18.68,"$3,208",10,32%,31,15%,268
SIPAC BAG (98462-P1),12.5,$99,1,100%,1,5%,19
SITMATIC USA (94646-P1),23.26,"$12,409",58,41%,141,47%,326
SKYWAY BROKERAGE (244804-P1),13.74,$278,2,50%,4,10%,103
SLIQUID LLC (100495-P1),13.5,$237,0,0%,1,12%,8
SMARTSTAGE (107727-P1),26.32,$50,1,100%,1,11%,9
SMITTY PAN MFG (89500-P1),18.64,"$1,252",9,36%,25,45%,58
SMM MANUFACTURING INC (88721-P1),22.96,"$1,085",5,62%,8,89%,9
SN CYCLE COR (88686-P1),12.0,$42,0,0%,1,12%,8
SNACK MEX (50453-P1),19.1,$199,2,67%,3,50%,6
SNAX IN PAX (249372-P1),19.32,"$1,365",3,27%,11,75%,12
SNOW JOE - LACY WA (245750-P1),18.79,"$1,030",3,50%,6,19%,47
SOL CABINETS WHOLESALE INC (96880-P1),12.96,"$1,725",9,35%,26,77%,35
SOMERSET WAREHOUSE PLUS INC (101595-P1),19.33,$283,1,33%,3,9%,44
SONORAN STONECRETE (90950-P1),42.75,$767,1,20%,5,23%,22
SOURCE TRADING LA LLC (251925-P1),14.87,"$3,252",8,80%,10,60%,15
SOUTHERN PACKAGING SUPPLIES (251214-P1),12.08,$107,2,50%,4,57%,7
SOUTHLAND POLYMERS (243007-P1),11.58,$486,3,43%,7,25%,36
SOUTHWEST HARDWOOD FLOORS INC (70302-P1),19.92,"$2,169",1,14%,7,15%,34
SOUTHWEST SCHOOL & OFFICE SUPPLY (100182-P1),18.82,$219,2,50%,4,11%,37
SOW SOLUTIONS CORP (110105-P1),18.31,$59,0,0%,2,57%,7
"SPECIAL T’S, LLC (255897-P1)",12.04,$50,1,100%,1,,
SPEEDPRESS (81406-P1),13.21,"$1,451",6,38%,16,24%,107
SPI WEST PORT INC (100183-P1),15.7,"$3,401",9,30%,30,32%,94
SR SMITH LLC (248951-P1),18.75,$300,0,0%,1,0%,1
SRI LAKSHMI NARASIMHAR OVERSEAS LLC (244856-P1),12.08,$273,0,0%,4,36%,11
STANDARD AUTO (88687-P1),23.32,$460,1,17%,6,11%,64
STEPHEN GOULD CORP - LOS ANGELES (106302-P1),28.36,$475,0,0%,1,,
STEPHEN GOULD CORP - SAN DIEGO (106301-P1),24.9,$30,0,0%,1,33%,3
STERLING WATER TECHNOLOGIES LLC (108929-P1),13.43,$496,5,71%,7,25%,28
STONE FIREPLACES (98829-P1),20.67,"$1,354",7,47%,15,74%,23
STRATEGIC MERCHANDISE GROUP (100044-P1),18.71,$245,1,100%,1,4%,27
STRICTLY DIESEL (111096-P1),14.37,$255,2,33%,6,43%,14
STUEWE & SONS INC (100192-P1),15.53,"$2,571",5,19%,26,9%,243
STURDY GUN SAFES (96408-P1),12.63,$716,3,20%,15,21%,66
SUFOO LIFE (237779-P1),11.38,$405,3,75%,4,57%,7
SUMMER CRUSH VINEYARD AND WINERY (255161-P1),8.63,$100,2,200%,1,50%,4
SUN LEE INC (246384-P1),15.7,$130,1,50%,2,100%,2
SUNJIN USA (247877-P1),25.61,"$1,764",4,40%,10,39%,33
SUNLAND SPECIALTIES (60381-P1),19.13,"$1,543",9,56%,16,79%,19
SUNLIGHT TRANSPORTATION (83659-P1),15.24,$747,4,19%,21,21%,128
SUNROCK CERAMICS COMPANY (61394-P1),12.0,$32,1,100%,1,6%,17
SUNS OUT (96698-P1),12.0,$455,4,67%,6,88%,8
SUNSET PACIFIC TRANSPORTATION (87754-P1),15.88,$977,0,0%,6,50%,14
SUNSTONE METAL PRODUCTS LLC (89350-P1),13.1,$213,0,0%,3,33%,36
SUNWAY EXPRESS (67833-P1),10.0,$72,0,0%,1,100%,1
SUPERIOR NUT COMPANY (116837-P1),45.48,$361,1,50%,2,75%,4
SUPERIOR SPRING COMPANY (245137-P1),16.05,$152,1,25%,4,50%,8
SURCO INC (104327-P1),13.6,$334,1,12%,8,67%,12
SURFACE FINISHING COMPANY LLC (96016-P1),20.57,"$1,015",1,7%,14,82%,17
SURRAJ PLASTICS CO (242652-P1),8.11,$90,2,67%,3,33%,9
SUSTAINABLE TECHNOLOGIES LLC (112065-P1),12.15,$593,5,29%,17,46%,35
SUTONG TIRE RESOURCES HOUSTON (239248-P1),18.39,$67,1,50%,2,33%,6
SUWANNEE RIVER SUPPLY (238487-P1),17.89,$754,7,39%,18,42%,45
SWIFT SUPPLY CO INC (104231-P1),15.8,$482,0,0%,6,50%,14
SYNTHETIC TURF DEPOT (108701-P1),15.56,$700,0,0%,1,,
T WEST (60992-P1),17.0,$58,1,100%,1,33%,3
T-SPA MFG (254162-P1),15.93,$167,1,50%,2,50%,8
"TABLE MATE PRODUCTS, INC. (247181-P1)",16.48,"$1,991",1,12%,8,60%,15
TECHNOLOGY INTEGRATION GROUP (241508-P1),18.5,$295,0,0%,1,,
TECHTRADE SOLUTIONS (104510-P1),18.78,$934,7,50%,14,56%,25
TELEDYNAMICS (94625-P1),18.98,"$1,045",0,0%,1,,
TERRA PACIFIC WASTE MANAGEMENT (96430-P1),13.21,$331,3,33%,9,48%,23
TETRACO LLC (101261-P1),24.59,"$8,937",7,17%,42,62%,63
THE ABS COMPANY (97215-P1),12.49,"$3,157",27,27%,99,21%,533
THE CHERIE ROSE COLLECTION (114105-P1),24.92,"$1,192",1,25%,4,67%,6
THE DIPPER INC (95999-P1),15.77,"$3,228",13,37%,35,38%,112
THE GINGER PEOPLE GROUP (98572-P1),14.47,"$3,340",23,52%,44,57%,61
THE LIGHTING COMPANY (107259-P1),17.85,$169,1,100%,1,5%,22
THE MANSION FURNITURE LLC (103252-P1),13.04,$55,0,0%,1,44%,9
THE NEW DIAMOND LINE CONTAINER CORPORATION (109641-P1),13.94,"$5,972",28,18%,158,29%,579
THE NEW DIAMOND LINE CONTAINER CORPORATION - BARB (230151-P1),40.23,"$13,411",59,45%,131,55%,250
THE NORTHWEST GROUP LLC (104134-P1),17.02,"$30,492",66,36%,184,78%,248
"THE STAPLETON GROUP, INC (235240-P1)",11.15,"$3,584",29,23%,127,6%,2247
THOR KITCHEN (242022-P1),7.5,$28,1,100%,1,100%,1
THOROBRED INC (102417-P1),16.14,$822,4,15%,26,34%,76
THREE KINGS (242095-P1),16.14,"$1,481",5,36%,14,31%,36
THREE Ns DEEP (90312-P1),19.95,"$6,232",10,43%,23,57%,35
THUNDERSTRUCK MOTORS (106217-P1),14.25,$474,5,62%,8,34%,35
TILE AND STONE EXPRESS (96744-P1),13.29,$660,4,33%,12,30%,40
TILE TECH INC (65929-P1),16.08,"$2,591",8,30%,27,7%,437
TIME MARK (253146-P1),11.0,$71,0,0%,1,33%,3
TK FREIGHT INC (105422-P1),14.5,$35,0,0%,1,67%,3
TNC PROMOTIONAL MARKETING LLC (229010-P1),32.34,$342,0,0%,1,100%,1
TNJ GLOBAL INC (82126-P1),36.72,$745,1,50%,2,3%,61
TNM BEAUTY PLUS (251185-P1),16.01,$223,1,100%,1,33%,6
TNR FUELS (243580-P1),18.59,$445,2,50%,4,86%,7
TNT SOLUTION KC LLC (109564-P1),14.95,"$3,494",22,42%,53,37%,177
TO MARKET GLOBAL (100292-P1),13.89,"$1,041",2,7%,27,100%,29
TOMEI POWERED USA (110700-P1),17.82,"$5,092",18,44%,41,94%,50
TONER MOTION (50622-P1),19.26,$298,1,50%,2,40%,5
TOP NOTCH NEW AND USED LLC (252249-P1),31.51,$526,0,0%,1,,
TOP TWO TEXTILES INC (247158-P1),11.0,$25,1,100%,1,33%,3
TOP WISE LOGISTICS - CA (89101-P1),23.79,"$2,808",2,13%,15,23%,74
TOPLINE MANUFACTURING (52864-P1),23.84,"$5,315",5,33%,15,34%,38
TRANSDECO INTL (50580-P1),10.0,$157,0,0%,3,33%,9
TRASIAN MANUFACTURING LTD (252025-P1),17.05,"$1,526",4,17%,24,34%,86
TRENDSTAR CORP (249751-P1),40.12,"$1,943",3,21%,14,52%,31
TRIWAYS LOGISTICS (117156-P1),32.54,$210,1,33%,3,62%,8
TUBE LIGHTING PRODUCTS (251263-P1),14.89,$45,0,0%,1,33%,3
TUCKER INTERNATIONAL USA INC (98617-P1),9.29,$200,0,0%,1,,
TV TIME DIRECT (102383-P1),30.91,"$3,375",6,26%,23,71%,35
TWINMED LLC - CA (244934-P1),20.1,"$1,400",0,0%,2,0%,1
"TYCS LOGISTICS, INC (252409-P1)",12.82,$602,4,40%,10,36%,36
TZ CASE (60080-P1),24.02,$424,1,33%,3,30%,10
UFO INC (248889-P1),53.57,$500,1,100%,1,29%,7
UG HEALTHCARE (66570-P1),17.33,$903,3,25%,12,36%,42
ULTIMATE BUILDER SERVICES (104871-P1),18.84,$64,2,100%,2,67%,3
ULTIMATE SOLUTIONS (116590-P1),14.99,"$3,525",20,30%,67,35%,194
UNI FILTER (51384-P1),19.9,"$4,474",8,33%,24,79%,34
UNICRAFT CABINETRY INC (65725-P1),14.75,$423,4,100%,4,27%,15
UNIQUE CANDIES LLC (101508-P1),17.32,$435,2,40%,5,10%,48
UNITED DISCOUNT WHOLESALE INC (101175-P1),22.82,"$1,462",5,56%,9,28%,40
UNITED KANBOO USA CORP (66882-P1),26.38,"$1,054",0,0%,6,75%,8
UNITED WAREHOUSE & LOGISTICS (244873-P1),13.24,$420,6,67%,9,31%,32
URETHANE PRODUCTS CORPORATION (109857-P1),18.89,$859,4,57%,7,47%,17
US MSS LOGISTICS - FONTANA (239583-P1),16.2,"$2,631",5,31%,16,10%,182
USA TECHNOLOGY CORP (81252-P1),21.64,"$19,046",72,40%,180,84%,217
VANGUARD SOAP LLC (244830-P1),18.52,$214,1,17%,6,86%,7
VERTEX PACKAGING SUPPLIES (87263-P1),14.51,$106,2,100%,2,50%,4
VICREZ (248281-P1),21.57,$327,0,0%,1,,
VIKING PRODUCTS (110863-P1),34.23,$326,1,25%,4,67%,6
VIKS DISTRIBUTORS (102657-P1),12.42,$75,0,0%,2,40%,5
VILLA HALLMARK (239249-P1),23.16,"$3,821",2,14%,14,30%,40
VIP RUBBER COMPANY (50937-P1),15.06,"$3,021",13,32%,40,70%,56
VIVIANS BASKETS (241322-P1),53.22,$400,1,100%,1,33%,3
VOLKMAN PET PRODUCTS (254765-P1),13.93,$170,0,0%,1,0%,1
VULCAN WIRE (81237-P1),17.19,"$1,965",8,23%,35,65%,92
W&W WHOLESALE INC (89812-P1),36.63,"$6,230",10,42%,24,26%,77
WAGAN CORP (84995-P1),17.46,$232,1,50%,2,8%,26
WANDA LOGISTICS INC (66435-P1),13.6,$576,0,0%,5,6%,105
WANTECH INTERNATIONAL (84917-P1),24.64,"$1,892",3,38%,8,20%,44
WASATCH (51130-P1),30.37,"$1,256",0,0%,9,30%,23
WASATCH LABS (96890-P1),15.29,$205,3,60%,5,6%,100
WE CONNECT LOGISTICS (100133-P1),14.6,$89,0,0%,3,100%,4
WECLY INTERNATIONAL (50402-P1),21.87,$263,1,50%,2,40%,5
WELLELL INC. (107879-P1),19.78,$777,4,22%,18,32%,53
WESCOM INC (254084-P1),11.39,$222,0,0%,1,25%,4
WEST STATE BILLIARDS (69862-P1),18.73,$629,2,40%,5,38%,8
WESTCO FRUITS & NUTS INC (103389-P1),11.88,$500,0,0%,1,14%,7
WESTCOAST WATER WORKS WAREHOUSE (61921-P1),29.55,$386,1,12%,8,100%,10
WESTERN FIBERGLASS (104464-P1),31.74,"$4,942",6,19%,31,43%,77
WESTERN PACIFIC TILE (244619-P1),13.78,$20,0,0%,1,5%,38
WHEELPLUS (52356-P1),13.27,$132,2,100%,2,100%,3
WHOLE TRADING INC (101886-P1),18.28,$405,1,14%,7,44%,16
WHYNTER LLC (102952-P1),12.79,$556,4,31%,13,6%,191
WILD WOOD APOTHECARY (97586-P1),25.43,$111,0,0%,1,100%,1
WILLIAMS BREWING (87361-P1),15.34,$768,4,33%,12,52%,29
WILLOW SPRINGS SRA (246192-P1),12.74,$181,1,17%,6,45%,29
WILSHIRE INDUSTRIES LLC (103395-P1),20.34,$148,3,50%,6,15%,40
WILSON PONTOONS (97704-P1),12.64,$105,1,100%,1,5%,44
WING START INTERNATION CO (228691-P1),12.99,$44,1,100%,1,33%,3
WINJET AUTOMOTIVE (113877-P1),15.73,"$3,570",15,31%,49,57%,90
WITTEK GOLF SUPPLY (62362-P1),10.26,$761,5,42%,12,32%,50
WOODSPUR FARMS (243219-P1),17.1,$901,5,42%,12,33%,43
WORKSTATION INDUSTRIES (51353-P1),13.73,"$1,962",13,43%,30,36%,89
WORLD DEPOT (100744-P1),15.5,"$70,697",162,24%,664,53%,1208
WORLD DEPOT INC - IL (104046-P1),9.47,$110,0,0%,1,,
WOZNIAK DISTRIBUTION (116911-P1),20.09,"$1,340",1,25%,4,75%,4
WWTL GROUP LTD (238135-P1),19.62,"$1,352",7,30%,23,72%,39
XRT LOGISTICS (250593-P1),21.37,$27,1,100%,1,33%,6
YATARI EXPRESS INTERNATIONAL INC (96618-P1),15.11,$875,4,33%,12,63%,19
YML GROUP INC (50886-P1),12.0,$42,1,100%,1,2%,43
YODER OIL CO INC (247813-P1),12.88,$546,4,40%,10,25%,48
YOSHIMASA (60916-P1),18.25,$544,3,60%,5,17%,30
YUMA USA (237615-P1),10.0,$38,0,0%,1,4%,93
Z DENTAL (237281-P1),20.19,$202,0,0%,3,14%,14
ZACA INC. (60803-P1),17.13,"$2,969",35,34%,103,63%,160
ZEPP NORTH AMERICA INC (251723-P1),24.53,$195,0,0%,1,,
ZJW INC (113308-P1),21.44,"$2,310",8,38%,21,68%,37
