Customer,Margin Percent,Gross Margin,Variance Count,Variance %,loads,Win Ratio,Total Quotes
BAMBOO 54 (61019-P1),15.08,$112,2,67%,3,16%,19
BAREBONES (241337-P1),25.79,$200,0,0%,1,0%,1
BAY LINE TOOL & EQUIPMENT (93996-P1),15.61,$473,1,7%,14,31%,59
BBQGRILLS.COM (83094-P1),16.78,"$1,456",8,28%,29,17%,179
BEACON MANAGEMENT INC (50485-P1),36.85,$231,0,0%,4,18%,22
BEAUTY TALK LLC (113188-P1),22.41,$300,0,0%,1,100%,1
BELLINI HOME AND GARDEN (94415-P1),16.1,$225,1,25%,4,33%,15
BEN SOLEIMANI - LA (254390-P1),22.96,$938,0,0%,9,33%,24
BENNER CHINA & GLASSWARE INC (112412-P1),16.74,"$3,312",29,28%,105,29%,358
BEST SHEET METAL (50790-P1),18.79,"$3,677",9,33%,27,46%,65
BEST USED MEDICAL EQUIPMENT (246690-P1),20.67,$355,1,25%,4,10%,39
"BESTOCEAN WORLDWIDE LOGISTICS, INC. (235457-P1)",40.0,$100,0,0%,1,0%,9
BG WHOLESALE TRADING INC (88722-P1),39.71,$156,0,0%,1,100%,1
BLAST COAT SYSTEMS INC. (81249-P1),12.0,$85,0,0%,1,33%,3
BLEEKER BROS (252146-P1),24.02,"$1,100",0,0%,2,100%,1
BLOOMLITE SOLUTIONS INC (111839-P1),18.22,$30,0,0%,1,,
BLUE COMMERCE INC (233578-P1),15.61,$327,0,0%,2,18%,11
BLUE LAKE PARTNERS (50458-P1),19.07,"$2,975",5,22%,23,58%,38
"BLUE ROBINS, INC (67173-P1)",27.08,"$3,402",7,32%,22,69%,51
BLUESUN SOLAR CO LTD (116672-P1),15.71,"$3,580",2,20%,10,9%,65
BLUEZONE PRODUCTS (113478-P1),26.53,$656,0,0%,6,56%,9
BMB ENTERPRISES (231822-P1),21.2,$300,1,100%,1,50%,2
BNX SHIPPING INC (81068-P1),13.62,$308,2,25%,8,31%,36
BOLIDE TECHNOLOGY GROUP (104073-P1),15.44,"$8,604",24,27%,89,87%,105
BORRAYS PLASTICS (52348-P1),23.35,"$3,775",15,33%,45,86%,50
BOSS INNOVATIONS (51666-P1),25.76,$68,0,0%,2,50%,4
BOTE (99568-P1),24.29,"$8,030",0,0%,21,,
BOTNER (90395-P1),36.06,"$1,209",1,25%,4,100%,2
BROCK TRANSPORTATION (100349-P1),20.57,"$1,731",2,25%,8,39%,28
BROEKEMA BELTWAY (93549-P1),24.53,$585,0,0%,3,,
"BROOKLYN BREW SHOP, LLC (235461-P1)",18.86,$304,1,17%,6,25%,24
"BUFFALO GILLS, LLC (238194-P1)",20.09,$613,5,42%,12,38%,32
BURKE MASONRY SERVICES INC (86637-P1),18.26,"$1,219",2,40%,5,47%,15
C3 LIGHTING SOLUTIONS (96629-P1),15.4,"$1,316",3,43%,7,100%,9
CACC GLOBAL LOGISTICS (51187-P1),15.0,$204,1,33%,3,16%,38
CAL CARGO (82875-P1),21.0,$780,2,29%,7,50%,14
CAL STATE SUPPLY (240034-P1),22.22,"$1,876",7,44%,16,50%,34
CALIBER RANGE CORP (59538-P1),22.36,"$1,186",3,17%,18,65%,31
CALIFORNIA ART TILE WEST (111897-P1),13.52,$835,2,15%,13,23%,60
CALIFORNIA GLASS BLOCK (87304-P1),17.75,$263,2,50%,4,50%,8
CAMERICH USA (59906-P1),9.54,"$3,376",8,28%,29,15%,186
CAMFIL USA AIR FILTERS AUSTIN BRANCH (251068-P1),23.32,$750,0,0%,2,0%,2
CAMP CHEF (234447-P1),21.32,"$1,118",0,0%,4,45%,11
CANDELLA LIGHTING CO (81443-P1),20.52,"$3,188",4,22%,18,32%,56
CANNASTER SUPPLY (96302-P1),10.31,$109,0,0%,4,26%,19
CARDDINE (106472-P1),15.37,"$1,081",6,26%,23,72%,36
CARGO LINK EXPRESS (241152-P1),22.56,"$1,186",0,0%,2,8%,36
CARLSONS CHOKE TUBE-NORTHWEST ARMS (96493-P1),15.08,$275,0,0%,4,13%,38
CAROUSEL USA (236974-P1),15.59,"$1,409",3,30%,10,39%,28
CARSON TECHNOLOGY (51725-P1),40.23,$312,0,0%,2,67%,3
CASCADE SCHOOL SUPPLIES (242900-P1),17.43,$357,4,44%,9,18%,50
CASCADE STAINLESS SOLUTIONS (96383-P1),18.15,$346,0,0%,3,38%,8
CASE PAK INC (61173-P1),19.85,$411,1,25%,4,10%,42
CASTELLE FURNITURE CO INC (104930-P1),22.73,"$7,193",25,29%,86,37%,234
CD VIDEO MFG (42102-P1),13.09,"$1,595",7,33%,21,35%,63
CECILIA TECH (105393-P1),22.6,"$3,954",0,0%,4,8%,12
CFR PERFORMANCE (115935-P1),17.14,$113,0,0%,1,20%,5
CHARLIE'S GOURMET FOOD EQUIPMENT (50381-P1),12.5,$82,2,100%,2,75%,4
CHATSWORTH PRODUCTS INC (242078-P1),20.76,"$5,097",2,18%,11,17%,30
CHEL'S CLOSET (109030-P1),25.25,$98,1,33%,3,75%,4
CHINA RAILWAY LOGISTICS LLC USA (87113-P1),23.29,"$1,299",2,33%,6,16%,49
CHIPSALZ INC (94018-P1),18.42,$158,0,0%,1,33%,6
CHOYCE PRODUCTS INC (103069-P1),15.72,$602,2,18%,11,85%,13
CHP LOGISTICS (50393-P1),17.02,$284,1,25%,4,24%,17
CINSA USA (113476-P1),18.5,"$13,482",36,33%,110,60%,190
CIRCLE CLOTHING LLC (107281-P1),16.01,"$1,453",4,40%,10,40%,25
"CJ LOGISTICS AMERICA, LLC (249667-P1)",18.14,$88,1,50%,2,33%,3
CLASSIC HOME (237919-P1),10.0,$11,1,100%,1,29%,7
CLEANIS (108759-P1),14.44,"$1,507",16,46%,35,59%,61
CLOSEOUT SURPLUS & SAVINGS LLC (229432-P1),25.43,"$3,370",8,31%,26,23%,131
CLOUD F1 LLC dba THE ELEGANT BAR (114182-P1),28.2,"$2,486",22,88%,25,34%,83
CMC WORLDWIDE (249337-P1),12.23,$261,0,0%,8,12%,68
CNS AUTO PARTS (84898-P1),14.17,$141,0,0%,3,80%,5
CODAN MX (247594-P1),36.19,"$17,580",15,19%,80,74%,113
CODAN US (246619-P1),29.1,"$19,962",26,27%,96,73%,147
COLLAZEN CARE (254963-P1),17.41,$91,0,0%,1,,
COLORADO CUSTOM (52793-P1),18.35,$410,1,17%,6,82%,17
COLUMBUS INTL TRANSPORT (93103-P1),23.5,$78,0,0%,1,100%,1
COMFORT HOME (60887-P1),17.0,$670,4,100%,4,44%,9
COMFORTSIDE LLC (235146-P1),14.66,$925,0,0%,2,,
COMMERCIAL TRANSPORT NETWORK (238086-P1),22.66,"$1,449",8,89%,9,32%,22
COMPLETE COACH WORKS (104950-P1),16.4,"$1,859",8,19%,43,85%,54
CONCEPT BATH AND INTERIORS (66965-P1),15.6,$395,2,40%,5,8%,60
CONCRETE PUMPING ACCESSORIES (85884-P1),21.83,"$1,534",2,17%,12,35%,37
COOL SOFA (96623-P1),17.26,$97,1,100%,1,11%,61
COOL SOFA - DNS (96623-P1),18.11,$836,3,43%,7,,
COOLER DEPOT (50236-P1),13.74,"$26,963",126,32%,393,33%,1319
COOLER DEPOT - PREPAY (114114-P1),41.06,$412,0,0%,1,17%,6
COOPER STREET COOKIES LLC (253741-P1),12.78,$377,2,33%,6,18%,34
CORAM HVAC CORP (94371-P1),11.82,$118,1,100%,1,100%,1
COWAY USA (83665-P1),26.47,"$57,147",22,28%,80,41%,165
CRANE CLOTHING (238373-P1),17.63,$655,1,17%,6,83%,6
CREATIVE DRINKS INC (110439-P1),15.19,"$1,597",5,18%,28,55%,55
CREATIVE FLAVORS AND SPECIALTIES (232593-P1),11.96,$46,0,0%,2,33%,6
CRETO WORLDWIDE (100636-P1),17.85,$135,3,75%,4,67%,6
CROWD MADE (251907-P1),12.23,$41,1,100%,1,25%,4
CRU NORTH AMERICA INC (255453-P1),14.0,$51,0,0%,1,21%,14
CRUNCH TECH INC (247848-P1),27.42,"$1,985",3,33%,9,43%,14
CS BROWN (254601-P1),21.0,$99,0,0%,1,50%,2
CST INTL GROUP INC (90098-P1),16.91,"$8,804",13,30%,43,35%,111
CUBE CARE (101776-P1),12.6,$366,5,62%,8,33%,24
CUDDLE BARN INC (46391-P1),14.88,$207,2,40%,5,12%,41
CUSTOM CREATIVE PLASTICS (44333-P1),14.82,$233,3,50%,6,37%,19
CUSTOM CUP FACTORY (230209-P1),14.13,"$2,210",18,60%,30,28%,142
D&D TECHNOLOGIES (50257-P1),18.8,$389,4,31%,13,22%,60
D&J INTERNATIONAL (82074-P1),6.67,$50,0,0%,1,25%,4
"D&S SALES, INC - WESTERN MULE CRANES (67091-P1)",12.96,$803,4,18%,22,31%,84
DAI CHEONG TRADING CO (253512-P1),25.0,$205,0,0%,1,33%,3
DAILY CONCEPTS (116842-P1),18.12,"$2,419",8,21%,39,93%,42
DALTON WOOD WHOLESALE (122666-P1),13.94,"$1,511",8,21%,38,44%,90
DASH 4 BRAKES (240539-P1),20.5,$90,1,50%,2,13%,38
DAYLIGHT HOME & GARDEN (60736-P1),30.19,$536,3,60%,5,41%,17
DE VORE PACKAGING INC (235210-P1),12.5,$355,3,50%,6,34%,35
DEALER LEATHER (230585-P1),16.68,$200,0,0%,1,20%,5
DEAVER SPRING INC (105340-P1),11.72,"$1,515",1,2%,50,80%,66
DEKORRA PRODUCTS (251184-P1),11.09,"$3,318",6,21%,29,45%,64
DELFINGEN (101755-P1),18.78,"$1,316",2,33%,6,56%,9
DENBESTE MOTORSPORTS (246749-P1),13.28,$681,1,5%,22,54%,39
DEPLOYED LOGISTICS (94258-P1),18.91,$447,1,12%,8,31%,36
"DERMORGANIC LABORATORIES, INC. (254488-P1)",25.67,$189,2,67%,3,100%,2
DFI AMERICA LLC (87287-P1),12.07,$36,2,200%,1,100%,1
DIMCO APPAREL (81238-P1),17.75,$702,11,85%,13,9%,147
DIRTGLUE ENTERPRISES (245657-P1),-7.64,$-60,0,0%,2,2%,82
DISCS UNLIMITED (60985-P1),21.64,$461,2,67%,3,16%,19
DIVERSIFIED HOSPITALITY SOLUTIONS (67865-P1),14.41,$437,1,33%,3,12%,24
DIXIE PRODUCTS INC (100396-P1),14.99,$957,10,50%,20,67%,24
DOLLAR EMPIRE LLC (114089-P1),15.18,"$1,119",11,85%,13,25%,59
DOLPHIN LOGISITCS INC (230470-P1),12.0,$96,0,0%,1,25%,4
DRIPLESS (102903-P1),13.19,$585,2,20%,10,8%,130
DURVY LIQUIDATION LLC (101418-P1),19.5,$837,4,50%,8,90%,10
DYNA TRANSPORT - CA (249191-P1),14.03,$573,0,0%,8,36%,22
DYNAMX WAREHOUSE APPLIANCE (239747-P1),11.24,$305,4,40%,10,8%,130
E Z CONNECTION INC (100297-P1),19.65,$527,2,40%,5,50%,12
E&B NATURAL RESOURCES (103053-P1),34.62,$450,0,0%,2,,
E-LINK INTERNATIONAL LLC (241360-P1),17.91,$444,0,0%,5,50%,14
EARTH & OCEAN LLC (236542-P1),12.5,$210,2,67%,3,100%,4
EAST ELECTRONICS CORP (107180-P1),19.7,$613,0,0%,6,86%,7
EAST IOWA PLASTICS INC (91661-P1),6.23,$54,0,0%,2,6%,33
EASTERNCCTV (249588-P1),13.71,"$6,499",6,12%,48,60%,80
EASY GROUP LLC (101657-P1),17.8,$775,7,78%,9,71%,14
EASYFLEX USA (58997-P1),15.92,"$44,135",44,4%,1017,82%,1256
EASYFLEX WEST (232514-P1),16.56,"$12,057",13,12%,106,94%,121
ECOLOGIX ENVIRONMENTAL SYSTEMS LLC (98558-P1),26.08,"$2,859",5,23%,22,65%,43
ED LONDON WREATH (245858-P1),46.84,"$1,375",2,22%,9,39%,23
EDM PERFORMANCE ACCESSORIES (252587-P1),10.0,$236,2,100%,2,29%,7
EDWARDS ENGINEERED PRODUCTS (111509-P1),3.62,$35,0,0%,4,71%,7
EEZGLOBAL INC (82586-P1),19.27,"$4,525",17,24%,70,89%,84
ELECTRIDUCT (52487-P1),18.64,"$5,599",30,40%,75,31%,253
EMOJO BIKE (105217-P1),13.88,"$2,201",23,55%,42,60%,89
EMPAVA APPLIANCES (251270-P1),11.72,"$8,880",54,23%,236,57%,491
EMPIRE ROOFING (252636-P1),12.0,$176,2,200%,1,25%,4
EMWEST POWERTRAIN SYSTEMS (111150-P1),15.98,"$10,461",7,11%,61,90%,69
ENCORE BEVERAGE (247791-P1),13.04,$166,2,100%,2,25%,4
ENERGETIC LIGHTING (69015-P1),14.54,"$2,486",11,31%,35,42%,98
ENERGY SERVICE PARTNERS (252581-P1),15.78,$40,0,0%,1,67%,3
